station_code,ogd_name,osm_name,osm_id,match_method,match_confidence,match_status,lat,lon,wikidata
TPTN,Tiruchirappa,Tiruchchirappalli Town,node/5303840009,exact_code,HIGH,MATCHED,10.8293046,78.7030401,Q16901729
PNDM,Pennadam,Pennadam,node/5303165673,exact_code,HIGH,MATCHED,11.3984392,79.2209625,Q63356199
MAP,Morappur,Morappur,node/5615288917,exact_code,HIGH,MATCHED,12.1259048,78.394782,Q63355419
SGE,Sankaridrug,அரசினர் தோட்டம்,node/5337407354,exact_code,HIGH,MATCHED,13.0696345,80.2730362,Q62005539
BQI,Bommidi,Bommidi,node/5616004257,exact_code,HIGH,MATCHED,11.984149,78.2459633,Q25549463
MMK,Madurantakam,Madurantakam,node/5306412986,exact_code,HIGH,MATCHED,12.5047431,79.8933341,Q18127641
MVN,Milavittan,Milavittan,node/5349727264,exact_code,HIGH,MATCHED,8.811644,78.0877263,Q63358125
TN,Tuticorin,Tuticorin,node/5349727306,exact_code,HIGH,MATCHED,8.8059955,78.1553488,Q15424349
SCM,Simhachalam,CMBT,node/5321248890,exact_code,HIGH,MATCHED,13.0685197,80.2039836,Q5012859
STL,Simultala,ஆயிரம் விளக்கு,node/5337407346,exact_code,HIGH,MATCHED,13.0585155,80.2587833,Q62005544
SAN,Sandila,Ashok Nagar,node/5319972796,exact_code,HIGH,MATCHED,13.0354768,80.2111075,Q18378132
SLY,Samalpatti,Samalpatti,node/5615288574,exact_code,HIGH,MATCHED,12.3109281,78.4829444,Q85799335
RMM,Rameswaram,Rameswaram,node/10252945311,exact_code,HIGH,MATCHED,9.2819518,79.3090043,
RMD,Ramanathapur,Ramanathapuram,node/5305955338,exact_code,HIGH,MATCHED,9.3588632,78.8375276,Q24943289
PMK,Paramakkudi,Paramakkudi,node/5305909311,exact_code,HIGH,MATCHED,9.5394619,78.5910826,Q63356878
MNM,Manamadurai,Manamadurai Junction,node/5305909308,exact_code,HIGH,MATCHED,9.6829999,78.4538243,Q17071642
SVGA,Sivaganga,Sivaganga,node/5305909296,exact_code,HIGH,MATCHED,9.8552401,78.500591,Q28406477
DKO,Devakottai R,Devakottai Road,node/5305909275,exact_code,HIGH,MATCHED,10.0380356,78.7622216,Q31293190
SPC,Sitapur City,Pachaiyappa's College,node/5329907482,exact_code,HIGH,MATCHED,13.0755466,80.2328522,Q30638918
AVN,Anvardikanpe,Anavardikhanpettai,node/5273584429,exact_code,HIGH,MATCHED,13.050776,79.567244,Q63355498
TUG,Thalangai,Thalangai,node/5286998289,exact_code,HIGH,MATCHED,13.0085969,79.4470398,Q63355883
THL,Tiruvalam,Tiruvalam,node/5286998285,exact_code,HIGH,MATCHED,12.9750062,79.2459112,Q63355922
MEH,Melalathur,Melattur,node/5275675165,exact_code,HIGH,MATCHED,12.9178774,78.8752624,Q63355622
VLT,Valathoor,Valathoor,node/5287054300,exact_code,HIGH,MATCHED,12.8896867,78.8396758,Q63355614
MPI,Melpatti,Melpatti,node/5310778050,exact_code,HIGH,MATCHED,12.8583448,78.795185,Q63355615
CTRE,Chitteri,Chitteri,node/5273796758,exact_code,HIGH,MATCHED,13.0679482,79.5981218,Q63355882
CTND,Chettinad,Chettinad,node/5305909272,exact_code,HIGH,MATCHED,10.159908,78.7764148,Q31291881
KAL,Kallal,Kallal,node/5305909277,exact_code,HIGH,MATCHED,9.9723172,78.6676613,Q63357975
MMM,Mandapam,Mandapam,node/5305955343,exact_code,HIGH,MATCHED,9.280778,79.157276,Q63355261
