station_code,station_name,osm_name,lat,lon,wikidata,match_status,match_method,match_confidence,source_ogd,source_osm
GOC,Ponmalai (Go,Ponmalai (Golden Rock),10.7915686,78.7104342,Q16898675,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
PDKT,Pudukkottai,Pudukkotai,10.3721881,78.8019821,Q17073332,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
KKDI,Karaikkudi,Karaikkudi Junction,10.0696672,78.793967,Q17064041,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
AB,Ambur,Ambur,12.784066,78.7217855,Q16868946,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SHU,Sholingur,Sholinghur,13.0141131,79.4867622,Q63355447,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
MCN,Mukundarayap,Mukundarayapuram,12.9782491,79.2892009,Q63355886,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
GYM,Gudiattam,Gudiyattam,12.9372959,78.9143466,Q31295667,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
AVD,Avadi,Avadi,13.1182744,80.1015427,Q4827409,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
KKPM,Kallakkudi-P,Kallakkudi Palanganatham,10.9664852,78.9497032,Q63356189,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
TPTN,Tiruchirappa,Tiruchchirappalli Town,10.8293046,78.7030401,Q16901729,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
PNDM,Pennadam,Pennadam,11.3984392,79.2209625,Q63356199,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
MAP,Morappur,Morappur,12.1259048,78.394782,Q63355419,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SGE,Sankaridrug,அரசினர் தோட்டம்,13.0696345,80.2730362,Q62005539,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
BQI,Bommidi,Bommidi,11.984149,78.2459633,Q25549463,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
MMK,Madurantakam,Madurantakam,12.5047431,79.8933341,Q18127641,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
MVN,Milavittan,Milavittan,8.811644,78.0877263,Q63358125,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
TN,Tuticorin,Tuticorin,8.8059955,78.1553488,Q15424349,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SCM,Simhachalam,CMBT,13.0685197,80.2039836,Q5012859,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
STL,Simultala,ஆயிரம் விளக்கு,13.0585155,80.2587833,Q62005544,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SAN,Sandila,Ashok Nagar,13.0354768,80.2111075,Q18378132,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SLY,Samalpatti,Samalpatti,12.3109281,78.4829444,Q85799335,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
RMM,Rameswaram,Rameswaram,9.2819518,79.3090043,,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
RMD,Ramanathapur,Ramanathapuram,9.3588632,78.8375276,Q24943289,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
PMK,Paramakkudi,Paramakkudi,9.5394619,78.5910826,Q63356878,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
MNM,Manamadurai,Manamadurai Junction,9.6829999,78.4538243,Q17071642,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SVGA,Sivaganga,Sivaganga,9.8552401,78.500591,Q28406477,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
DKO,Devakottai R,Devakottai Road,10.0380356,78.7622216,Q31293190,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SPC,Sitapur City,Pachaiyappa's College,13.0755466,80.2328522,Q30638918,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
AVN,Anvardikanpe,Anavardikhanpettai,13.050776,79.567244,Q63355498,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
TUG,Thalangai,Thalangai,13.0085969,79.4470398,Q63355883,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
THL,Tiruvalam,Tiruvalam,12.9750062,79.2459112,Q63355922,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
MEH,Melalathur,Melattur,12.9178774,78.8752624,Q63355622,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
VLT,Valathoor,Valathoor,12.8896867,78.8396758,Q63355614,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
MPI,Melpatti,Melpatti,12.8583448,78.795185,Q63355615,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
CTRE,Chitteri,Chitteri,13.0679482,79.5981218,Q63355882,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
CTND,Chettinad,Chettinad,10.159908,78.7764148,Q31291881,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
KAL,Kallal,Kallal,9.9723172,78.6676613,Q63357975,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
